sample,tempo para fechamento,tempo merge,closed_count,open_count,merged_count,not_merged_count,framework,relative_open_count,relative_closed_count,relative_merged,relative_not_merged
Azure-Samples/Hybrid-KeyVault-Java-Manage-Secrets-Certificate-Based-Auth,27.0,27.0,1.0,2.0,1.0,0.0,Azure,66.66666666666666,33.33333333333333,100.0,0.0
Azure-Samples/Hybrid-resources-java-manage-resource-group,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/IoTDemos,,,0.0,47.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/IoTEdgeAndMlSample,1.3333333333333333,1.3333333333333333,3.0,1.0,3.0,0.0,Azure,25.0,75.0,100.0,0.0
Azure-Samples/Iot-Telemetry-Simulator,9.8,9.8,5.0,0.0,5.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Java-application-petstore-ee7,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/KeyVault-Rotation-SQLPassword-Csharp,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/LUIS-DevOps-Template,1.5555555555555556,1.5555555555555556,9.0,0.0,9.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/LiveMaps,38.375,40.42857142857143,8.0,8.0,7.0,1.0,Azure,50.0,50.0,87.5,12.5
Azure-Samples/MLOpsDatabricks,4.0,4.0,4.0,0.0,4.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Machine-Learning-Operationalization,6.9375,5.733333333333333,16.0,4.0,15.0,1.0,Azure,20.0,80.0,93.75,6.25
Azure-Samples/MachineLearning-MusicGeneration,0.0,0.0,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/MachineLearningSamples-AerialImageClassification,1.1666666666666667,0.0,6.0,0.0,5.0,1.0,Azure,0.0,100.0,83.33333333333334,16.666666666666664
Azure-Samples/MachineLearningSamples-BigData,18.0,,2.0,0.0,0.0,2.0,Azure,0.0,100.0,0.0,100.0
Azure-Samples/MachineLearningSamples-BikeShare,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/MachineLearningSamples-BiomedicalEntityExtraction,24.0,24.0,2.0,4.0,2.0,0.0,Azure,66.66666666666666,33.33333333333333,100.0,0.0
Azure-Samples/MachineLearningSamples-ChurnPrediction,0.0,0.0,2.0,2.0,2.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/MachineLearningSamples-DeepLearningforPredictiveMaintenance,0.3333333333333333,0.5,3.0,0.0,2.0,1.0,Azure,0.0,100.0,66.66666666666666,33.33333333333333
Azure-Samples/MachineLearningSamples-DistributedHyperParameterTuning,0.0,0.0,2.0,1.0,2.0,0.0,Azure,33.33333333333333,66.66666666666666,100.0,0.0
Azure-Samples/MachineLearningSamples-DocumentCollectionAnalysis,0.0,0.0,3.0,0.0,3.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/MachineLearningSamples-EnergyDemandTimeSeriesForecasting,0.2,0.2,5.0,0.0,5.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/MachineLearningSamples-ImageClassificationUsingCntk,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/MachineLearningSamples-Iris,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/MachineLearningSamples-NoCodeDeploymentTriggeredByEventGrid,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/MachineLearningSamples-Notebooks,0.0,0.0,4.0,0.0,4.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/MachineLearningSamples-PredictiveMaintenance,0.0,0.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/MachineLearningSamples-QnAMatching,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/MachineLearningSamples-SentimentAnalysis,0.0,0.0,3.0,1.0,3.0,0.0,Azure,25.0,75.0,100.0,0.0
Azure-Samples/MachineLearningSamples-TDSPUCIAdultIncome,15.0,23.0,2.0,0.0,1.0,1.0,Azure,0.0,100.0,50.0,50.0
Azure-Samples/MachineLearningSamples-mml,3.0,3.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/MachineLearningSamples-mmlspark,1.0,1.0,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/MachineLearningSamples-mnist,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/MachineLearningSamples-tf,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/Microchip-PIC-IoT-Wx,83.0,83.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Microchip-SAM-IoT-Wx,20.333333333333332,20.333333333333332,3.0,0.0,3.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Microsoft-Information-Protection-PowerShell-Samples,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/Mongoose_CosmosDB,0.0,0.0,2.0,1.0,2.0,0.0,Azure,33.33333333333333,66.66666666666666,100.0,0.0
Azure-Samples/MyDriving,0.0,0.0,2.0,9.0,2.0,0.0,Azure,81.81818181818183,18.181818181818183,100.0,0.0
Azure-Samples/NVIDIA-Deepstream-Azure-IoT-Edge-on-a-NVIDIA-Jetson-Nano,20.0,20.0,3.0,0.0,3.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/PartitionedRepository,66.0,66.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Project_Confidential_Apps_for_IoT_with_Enclaves,10.0,,1.0,0.0,0.0,1.0,Azure,0.0,100.0,0.0,100.0
Azure-Samples/Serverless-APIs,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/Serverless-Eventing-Platform-for-Microservices,28.0,28.0,8.0,17.0,8.0,0.0,Azure,68.0,32.0,100.0,0.0
Azure-Samples/Serverless-File-Validation,60.5,60.5,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Serverless-microservices-reference-architecture,2.2222222222222223,0.875,9.0,16.0,8.0,1.0,Azure,64.0,36.0,88.88888888888889,11.11111111111111
Azure-Samples/Speech-Service-Actions-Template,1.0,1.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/SpeechToText-REST,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/SpeechToText-WebSockets-Javascript,2.0833333333333335,1.8888888888888888,12.0,8.0,9.0,3.0,Azure,40.0,60.0,75.0,25.0
Azure-Samples/Synapse,8.875,8.875,24.0,3.0,24.0,0.0,Azure,11.11111111111111,88.88888888888889,100.0,0.0
Azure-Samples/TransformXMLandStoreIntoCosmosdb,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/Use-PowerShell-for-long-term-retention-of-Azure-Files-Backup,6.0,6.0,1.0,3.0,1.0,0.0,Azure,75.0,25.0,100.0,0.0
Azure-Samples/Verified-Telemetry-FreeRTOS-Sample,21.0,21.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/aad-dotnet-manage-passwords,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/aad-dotnet-manage-resources-from-vm-with-msi,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/aad-dotnet-manage-service-principals,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/aad-dotnet-manage-users-groups-and-roles,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/aci-docs-sample-python,7.0,7.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/aci-dotnet-create-container-groups,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/aci-dotnet-create-container-groups-using-private-registry,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/aci-dotnet-manage-container-instances-1,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/aci-dotnet-manage-container-instances-2,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/aci-event-driven-worker-queue,48.0,48.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/aci-helloworld,0.0,0.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/aci-vsts-pr-reviewer-logicapps-servicebus,0.0,0.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/acr-build-helloworld-node,0.0,0.0,1.0,3.0,1.0,0.0,Azure,75.0,25.0,100.0,0.0
Azure-Samples/acr-dotnet-manage-azure-container-registry,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/acr-dotnet-manage-azure-container-registry-with-webhooks,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/acr-helloworld,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/acr-tasks,29.8,29.8,5.0,1.0,5.0,0.0,Azure,16.666666666666664,83.33333333333334,100.0,0.0
Azure-Samples/acs-dotnet-manage-azure-container-service-with-docker-swarm-orchestrator,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/acs-dotnet-manage-azure-container-service-with-kubernetes-orchestrator,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/active-directory-android,155.75,59.0,4.0,0.0,3.0,1.0,Azure,0.0,100.0,75.0,25.0
Azure-Samples/active-directory-android-native-oidcandroidlib-v2,0.0,0.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-angularjs-singlepageapp,230.3846153846154,66.28571428571429,13.0,0.0,7.0,6.0,Azure,0.0,100.0,53.84615384615385,46.15384615384615
Azure-Samples/active-directory-angularjs-singlepageapp-dotnet-webapi,493.6666666666667,10.5,3.0,0.0,2.0,1.0,Azure,0.0,100.0,66.66666666666666,33.33333333333333
Azure-Samples/active-directory-aspnetcore-webapp-openidconnect-v2,12.734375,9.236363636363636,64.0,6.0,55.0,9.0,Azure,8.571428571428571,91.42857142857143,85.9375,14.0625
Azure-Samples/active-directory-b2c-advanced-policies,234.8125,248.93333333333334,16.0,8.0,15.0,1.0,Azure,33.33333333333333,66.66666666666666,93.75,6.25
Azure-Samples/active-directory-b2c-android-native-appauth,0.0,0.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-b2c-android-native-msal,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/active-directory-b2c-custom-policy-starterpack,200.52631578947367,20.384615384615383,19.0,4.0,13.0,6.0,Azure,17.391304347826086,82.6086956521739,68.42105263157895,31.57894736842105
Azure-Samples/active-directory-b2c-dotnet-desktop,25.0,25.0,4.0,0.0,4.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-b2c-dotnet-uwp,11.25,10.0,4.0,0.0,3.0,1.0,Azure,0.0,100.0,75.0,25.0
Azure-Samples/active-directory-b2c-dotnet-webapp-and-webapi,28.083333333333332,9.727272727272727,12.0,6.0,11.0,1.0,Azure,33.33333333333333,66.66666666666666,91.66666666666666,8.333333333333332
Azure-Samples/active-directory-b2c-dotnetcore-webapi,134.4,57.0,5.0,0.0,4.0,1.0,Azure,0.0,100.0,80.0,20.0
Azure-Samples/active-directory-b2c-dotnetcore-webapp,104.66666666666667,0.6,9.0,0.0,5.0,4.0,Azure,0.0,100.0,55.55555555555556,44.44444444444444
Azure-Samples/active-directory-b2c-graph-trustframework-policy,6.0,6.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/active-directory-b2c-ios-swift-native-msal,18.833333333333332,18.833333333333332,6.0,0.0,6.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-b2c-javascript-angular-spa,13.571428571428571,9.384615384615385,14.0,0.0,13.0,1.0,Azure,0.0,100.0,92.85714285714286,7.142857142857142
Azure-Samples/active-directory-b2c-javascript-angular2.4-spa,310.3333333333333,1.0,3.0,0.0,2.0,1.0,Azure,0.0,100.0,66.66666666666666,33.33333333333333
Azure-Samples/active-directory-b2c-javascript-hellojs-singlepageapp,7.5,7.5,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-b2c-javascript-msal-singlepageapp,1.5,1.5,6.0,0.0,6.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-b2c-javascript-nodejs-embedded,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/active-directory-b2c-javascript-nodejs-webapi,119.5,0.0,2.0,0.0,1.0,1.0,Azure,0.0,100.0,50.0,50.0
Azure-Samples/active-directory-b2c-php-webapp-openidconnect,127.5,0.0,2.0,0.0,1.0,1.0,Azure,0.0,100.0,50.0,50.0
Azure-Samples/active-directory-b2c-python-flask-webapp,0.0,0.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-b2c-training-course,0.0,0.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/active-directory-b2c-xamarin-native,9.0,9.0,8.0,0.0,8.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-coding-exercises,0.0,0.0,3.0,0.0,3.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-cordova-graphapi,524.0,524.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-cordova-multitarget,262.5,262.5,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-admin-restricted-scopes-v2,0.0,0.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-daemon,20.4,1.25,5.0,0.0,4.0,1.0,Azure,0.0,100.0,80.0,20.0
Azure-Samples/active-directory-dotnet-daemon-certificate-credential,66.0,8.333333333333334,7.0,0.0,6.0,1.0,Azure,0.0,100.0,85.71428571428571,14.285714285714285
Azure-Samples/active-directory-dotnet-demo-tdlr,384.0,314.0,2.0,0.0,1.0,1.0,Azure,0.0,100.0,50.0,50.0
Azure-Samples/active-directory-dotnet-desktop-msgraph-v2,30.2,30.2,5.0,0.0,5.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-deviceprofile,199.75,1.3333333333333333,4.0,0.0,3.0,1.0,Azure,0.0,100.0,75.0,25.0
Azure-Samples/active-directory-dotnet-external-identities-api-connector-azure-function-validate,45.5,45.5,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-graphapi-console,28.666666666666668,28.666666666666668,3.0,2.0,3.0,0.0,Azure,40.0,60.0,100.0,0.0
Azure-Samples/active-directory-dotnet-graphapi-directoryextensions-web,0.0,0.0,2.0,1.0,2.0,0.0,Azure,33.33333333333333,66.66666666666666,100.0,0.0
Azure-Samples/active-directory-dotnet-graphapi-reporting,42.0,42.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-graphapi-web,2.0,2.0,4.0,4.0,4.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/active-directory-dotnet-iwa-v2,21.0,21.0,3.0,0.0,3.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-native-aspnetcore,162.33333333333334,2.3333333333333335,6.0,0.0,3.0,3.0,Azure,0.0,100.0,50.0,50.0
Azure-Samples/active-directory-dotnet-native-aspnetcore-v2,6.222222222222222,3.2,18.0,0.0,15.0,3.0,Azure,0.0,100.0,83.33333333333334,16.666666666666664
Azure-Samples/active-directory-dotnet-native-desktop,45.0,45.0,5.0,0.0,5.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-native-headless,0.0,0.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-native-multitarget,43.5,43.5,4.0,0.0,4.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-native-uwp-v2,1.2,1.2,5.0,0.0,5.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-native-uwp-wam,139.0,139.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-resource-manager-authorization,0.0,0.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-rms-windowsstore,0.0,0.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-v1-to-v2,0.0,0.0,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-web-single-sign-out,0.0,0.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/active-directory-dotnet-webapi-getting-started,0.0,0.0,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-webapi-manual-jwt-validation,109.2,0.5714285714285714,10.0,0.0,7.0,3.0,Azure,0.0,100.0,70.0,30.0
Azure-Samples/active-directory-dotnet-webapi-multitenant-windows-store,186.0,129.0,6.0,0.0,4.0,2.0,Azure,0.0,100.0,66.66666666666666,33.33333333333333
Azure-Samples/active-directory-dotnet-webapi-onbehalfof,220.25,0.0,4.0,0.0,1.0,3.0,Azure,0.0,100.0,25.0,75.0
Azure-Samples/active-directory-dotnet-webapi-onbehalfof-ca,0.0,0.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-dotnet-webapp-groupclaims,18.2,2.25,5.0,0.0,4.0,1.0,Azure,0.0,100.0,80.0,20.0
Azure-Samples/active-directory-dotnet-webapp-multitenant-openidconnect,392.5,7.0,6.0,0.0,3.0,3.0,Azure,0.0,100.0,50.0,50.0
Azure-Samples/active-directory-dotnet-webapp-openidconnect,150.33333333333334,72.66666666666667,6.0,0.0,3.0,3.0,Azure,0.0,100.0,50.0,50.0
Azure-Samples/active-directory-dotnet-webapp-openidconnect-aspnetcore,24.88888888888889,24.88888888888889,9.0,0.0,9.0,0.0,Azure,0.0,100.0,100.0,0.0
