,framework,login,seguidores,numero_prs_criados,numero_merges,numero_prs_criado_mergeado,numero_prs_criado_n_mergeado,numero_prs_n_mergeado_fechado,numero_prs_fechado,numero_merges_exclude_auto_merge,numero_revisoes_exclude_auto_revisado,auto_revisado,tempo experiencia(dias)
1205,AWS,acere,3.0,0,1,0,0,0,1,1,1,0,0
1206,AWS,ahmedqe,,0,0,0,0,0,0,0,0,0,0
1207,AWS,haofeif,,0,0,0,0,0,0,0,0,0,0
1208,AWS,leelalagudu,,0,0,0,0,0,0,0,0,0,0
1209,AWS,jmejco,,0,0,0,0,0,0,0,0,0,0
1210,AWS,tamara-h,,0,0,0,0,0,0,0,0,0,0
1211,AWS,shashivj,0.0,0,3,0,0,0,3,3,3,0,4
1212,AWS,gerrardcowburn,1.0,0,1,0,0,0,1,1,1,0,0
1213,AWS,boooziz,2.0,0,1,0,0,0,1,1,1,0,0
1214,AWS,cwalkere,,0,0,0,0,0,0,0,0,0,0
1215,AWS,Josh-Bonello,1.0,0,2,0,0,0,2,2,2,0,0
1216,AWS,tdcsrq,1.0,0,3,0,0,0,3,3,3,0,21
1217,AWS,dcolcott,,0,0,0,0,0,0,0,0,0,21
1218,AWS,rjesh-git,6.0,0,1,0,0,0,1,1,1,0,0
1219,AWS,alkayahan,,0,0,0,0,0,0,0,0,0,0
1220,AWS,JuliaABurch,,0,0,0,0,0,0,0,0,0,0
1221,AWS,rukekre,,0,0,0,0,0,0,0,0,0,0
1222,AWS,brhook-aws,,0,0,0,0,0,0,0,0,0,0
1223,AWS,kris-work,,0,0,0,0,0,0,0,0,0,0
1224,AWS,haozhao-aws,,0,0,0,0,0,0,0,0,0,0
1225,AWS,mj-ano,,0,0,0,0,0,0,0,0,0,0
1226,AWS,senkinnar,,0,0,0,0,0,0,0,0,0,0
1227,AWS,hemanthboinpally,0.0,0,1,0,0,0,1,1,1,0,0
1228,AWS,samvas-aws,2.0,0,1,0,0,0,1,1,1,0,0
1229,AWS,johnnyw-aws,0.0,0,3,0,0,0,3,3,3,0,4
1230,AWS,hanamz,,0,0,0,0,0,0,0,0,0,4
1231,AWS,blayzestefaniak,,0,0,0,0,0,0,0,0,0,4
1232,AWS,dilipmrajan9,0.0,0,3,0,0,0,3,3,3,0,0
1233,AWS,avisaws,0.0,0,1,0,0,0,1,1,1,0,0
1234,AWS,bestickley,0.0,0,1,0,0,0,1,1,1,0,0
1235,AWS,bpguasch,,0,0,0,0,0,0,0,0,0,0
1236,AWS,nghtm,,0,0,0,0,0,0,0,0,0,0
1237,AWS,lovaarte,,0,0,0,0,0,0,0,0,0,0
1238,AWS,kulkarni-saurabh,,0,0,0,0,0,0,0,0,0,0
1239,AWS,dabounds,,0,0,0,0,0,0,0,0,0,0
1240,AWS,gherlein,34.0,0,5,0,0,0,5,5,5,0,0
1241,AWS,charlesg3,,0,0,0,0,0,0,0,0,0,0
1242,AWS,dhawalkp,,0,0,0,0,0,0,0,0,0,0
1243,AWS,dineshkumar4u,,0,0,0,0,0,0,0,0,0,0
1244,AWS,msailes,26.0,0,3,0,0,0,3,3,3,0,16
1245,AWS,wangz10,,0,0,0,0,0,0,0,0,0,16
1246,AWS,jeromeb,,0,0,0,0,0,0,0,0,0,16
1247,AWS,gunnargrosch,,0,0,0,0,0,0,0,0,0,16
