sample,tempo para fechamento,tempo merge,closed_count,merged_count,not_merged_count,framework
Azure-Samples/application-insights-react-demo,92.0,,1.0,0.0,1.0,Azure
Azure-Samples/azure-batch-samples,72.2,,5.0,0.0,5.0,Azure
Azure-Samples/azure-cosmos-db-graph-gremlindotnet-getting-started,292.0,,2.0,0.0,2.0,Azure
Azure-Samples/azure-cosmos-db-graph-java-getting-started,317.5,,2.0,0.0,2.0,Azure
Azure-Samples/azure-cosmos-db-python-getting-started,454.2,,5.0,0.0,5.0,Azure
Azure-Samples/azure-cosmos-java-getting-started,268.0,,2.0,0.0,2.0,Azure
Azure-Samples/azure-event-grid-viewer,7.0,,1.0,0.0,1.0,Azure
Azure-Samples/azure-farmbeats-samples,4.0,,1.0,0.0,1.0,Azure
Azure-Samples/azure-functions-samples-java,31.0,,1.0,0.0,1.0,Azure
Azure-Samples/azure-intelligent-edge-patterns,46.333333333333336,,6.0,0.0,6.0,Azure
Azure-Samples/azure-iot-hub-large-twin-example,0.0,,2.0,0.0,2.0,Azure
Azure-Samples/azure-iot-samples-csharp,483.0,,7.0,0.0,7.0,Azure
Azure-Samples/azure-iot-samples-node,0.0,,1.0,0.0,1.0,Azure
Azure-Samples/azure-maps-html-marker-layer,48.0,,1.0,0.0,1.0,Azure
Azure-Samples/azure-maps-selection-control,0.0,,1.0,0.0,1.0,Azure
Azure-Samples/azure-mfa-authentication-method-analysis,57.0,,1.0,0.0,1.0,Azure
Azure-Samples/azure-python-labs,99.6923076923077,,13.0,0.0,13.0,Azure
Azure-Samples/azure-samples-python-management,77.5,,2.0,0.0,2.0,Azure
Azure-Samples/azure-sdk-for-go-samples,23.5,,4.0,0.0,4.0,Azure
Azure-Samples/azure-sdk-for-java-storage-blob-upload-download,74.5,,2.0,0.0,2.0,Azure
Azure-Samples/azure-sdk-for-js-keyvault-secret-get-set-managedid,275.0,,2.0,0.0,2.0,Azure
Azure-Samples/azure-sdk-for-js-keyvault-secrets-get-nodejs-managedid,352.0,,2.0,0.0,2.0,Azure
Azure-Samples/azure-sdk-for-js-samples,9.0,,2.0,0.0,2.0,Azure
Azure-Samples/azure-sdk-for-js-storage-blob-upload-download,146.0,,2.0,0.0,2.0,Azure
