sample,tempo para fechamento,tempo merge,closed_count,open_count,merged_count,not_merged_count,framework,relative_open_count,relative_closed_count,relative_merged,relative_not_merged
Azure-Samples/Microchip-SAM-IoT-Wx,20.333333333333332,20.333333333333332,3.0,0.0,3.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/NVIDIA-Deepstream-Azure-IoT-Edge-on-a-NVIDIA-Jetson-Nano,30.0,30.0,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Project_Confidential_Apps_for_IoT_with_Enclaves,10.0,,1.0,0.0,0.0,1.0,Azure,0.0,100.0,0.0,100.0
Azure-Samples/Serverless-APIs,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/Serverless-Eventing-Platform-for-Microservices,161.0,161.0,1.0,16.0,1.0,0.0,Azure,94.11764705882352,5.88235294117647,100.0,0.0
Azure-Samples/Serverless-File-Validation,60.5,60.5,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/Serverless-microservices-reference-architecture,6.5,0.0,2.0,16.0,1.0,1.0,Azure,88.88888888888889,11.11111111111111,50.0,50.0
Azure-Samples/Speech-Service-Actions-Template,1.0,1.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/Synapse,8.875,8.875,24.0,3.0,24.0,0.0,Azure,11.11111111111111,88.88888888888889,100.0,0.0
Azure-Samples/TransformXMLandStoreIntoCosmosdb,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/Verified-Telemetry-FreeRTOS-Sample,21.0,21.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/aci-docs-sample-python,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/aci-event-driven-worker-queue,48.0,48.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/acr-build-helloworld-node,,,0.0,3.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/acr-tasks,29.0,29.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/active-directory-aspnetcore-webapp-openidconnect-v2,8.972222222222221,9.382352941176471,36.0,5.0,34.0,2.0,Azure,12.195121951219512,87.8048780487805,94.44444444444444,5.555555555555555
