,framework,login,seguidores,numero_prs_criados,numero_merges,numero_prs_criado_mergeado,numero_prs_criado_n_mergeado,numero_prs_n_mergeado_fechado,numero_prs_fechado,numero_merges_exclude_auto_merge,numero_revisoes_exclude_auto_revisado,auto_revisado,tempo experiencia(dias)
258,AWS,billtarr-aws,0.0,0,1,0,0,0,1,1,1,0,0
259,AWS,tuliocasagrande,,0,0,0,0,0,0,0,0,0,0
260,AWS,tzvetkov75,15.0,0,5,0,0,0,5,5,5,0,197
261,AWS,enr1c091,39.0,0,15,0,0,1,16,15,16,0,279
262,AWS,trivikr,251.0,0,2,0,0,0,2,2,2,0,58
263,AWS,seigenbrode,6.0,0,1,0,0,0,1,1,1,0,0
264,AWS,xonor,,0,0,0,0,0,0,0,0,0,0
265,AWS,stevensu1977,19.0,0,9,0,0,2,11,9,11,0,78
266,AWS,ykmr1224,2.0,0,0,0,0,1,1,0,1,0,78
267,AWS,muhammadshahzad132,0.0,0,3,0,0,0,3,3,3,0,374
268,AWS,rpcme,59.0,0,10,0,0,0,10,10,10,0,523
269,AWS,zachgardner,,0,0,0,0,0,0,0,0,0,523
270,AWS,triggan,27.0,0,1,0,0,1,2,1,2,0,131
271,AWS,p-palanis,,0,0,0,0,0,0,0,0,0,131
272,AWS,ILAsoft,3.0,0,2,0,0,0,2,2,2,0,7
273,AWS,guyilin-amazon,,0,0,0,0,0,0,0,0,0,7
274,AWS,butleragrant,,0,0,0,0,0,0,0,0,0,7
275,AWS,amzn-paunort,,0,0,0,0,0,0,0,0,0,7
276,AWS,allimn,,0,0,0,0,0,0,0,0,0,7
277,AWS,byronlin13,1.0,0,2,0,0,2,4,2,4,0,0
278,AWS,justing-bq,,0,0,0,0,0,0,0,0,0,0
279,AWS,simonz-bq,,0,0,0,0,0,0,0,0,0,0
280,AWS,yohanmartin,,0,0,0,0,0,0,0,0,0,0
281,AWS,saumehta9,,0,0,0,0,0,0,0,0,0,0
282,AWS,othonrsanchez,,0,0,0,0,0,0,0,0,0,0
283,AWS,gadams999,8.0,0,1,0,0,0,1,1,1,0,0
284,AWS,gizzigg,,0,0,0,0,0,0,0,0,0,0
285,AWS,alexw91,,0,0,0,0,0,0,0,0,0,0
286,AWS,smrmkt,10.0,0,2,0,0,0,2,2,2,0,414
287,AWS,obayk,0.0,0,1,0,0,0,1,1,1,0,0
288,AWS,rezabekf,15.0,0,6,0,0,6,12,6,12,0,663
289,AWS,bosquu,2.0,0,3,0,0,0,3,3,3,0,18
290,AWS,anshrma,6.0,0,6,0,0,0,6,6,6,0,43
291,AWS,mkriaf,1.0,0,9,0,0,0,9,9,9,0,340
292,AWS,jamesbland123,2.0,0,87,0,0,0,87,87,87,0,607
293,AWS,kkvinjam,3.0,0,1,0,0,1,2,1,2,0,83
294,AWS,jerwallace,36.0,0,2,0,0,0,2,2,2,0,55
295,AWS,squidbot,1.0,0,1,0,0,0,1,1,1,0,0
296,AWS,willyg302,,0,0,0,0,0,0,0,0,0,0
297,AWS,wqfan,11.0,0,1,0,0,0,1,1,1,0,0
298,AWS,PatrickXYS,42.0,0,1,0,0,0,1,1,1,0,0
299,AWS,aws-kf-ci-bot,,0,0,0,0,0,0,0,0,0,0
300,AWS,Jeffwan,236.0,0,2,0,0,0,2,2,2,0,0
301,AWS,PettitWesley,48.0,0,7,0,0,1,8,7,8,0,455
302,AWS,zhonghui12,,0,0,0,0,0,0,0,0,0,455
303,AWS,hossain-rayhan,93.0,0,1,0,0,0,1,1,1,0,0
304,AWS,alexfrosa,3.0,0,3,0,0,0,3,3,3,0,434
305,AWS,AndersAsa,,0,0,0,0,0,0,0,0,0,434
306,AWS,massi-ang,8.0,0,1,0,0,0,1,1,1,0,0
307,AWS,JoeShi,28.0,0,3,0,0,0,3,3,3,0,531
308,AWS,eamonnfaherty,24.0,0,9,0,0,0,9,9,9,0,668
309,AWS,mhausenblas,1025.0,0,1,0,0,0,1,1,1,0,0
310,AWS,jonrau-at-aws,,0,0,0,0,0,0,0,0,0,0
311,AWS,mithun008,3.0,0,1,0,0,0,1,1,1,0,0
312,AWS,ccharro,,0,0,0,0,0,0,0,0,0,0
313,AWS,izaytsev,0.0,0,1,0,0,0,1,1,1,0,0
314,AWS,zhizhongk,,0,0,0,0,0,0,0,0,0,0
315,AWS,sachgo,0.0,0,9,0,0,2,11,9,11,0,164
316,AWS,rajpathi,,0,0,0,0,0,0,0,0,0,164
317,AWS,jkkorpi,,0,0,0,0,0,0,0,0,0,164
318,AWS,apekshajain,,0,0,0,0,0,0,0,0,0,164
319,AWS,smswz,,0,0,0,0,0,0,0,0,0,164
320,AWS,farleyb-amazon,,0,0,0,0,0,0,0,0,0,164
321,AWS,texastony,,0,0,0,0,0,0,0,0,0,164
322,AWS,josecorella,,0,0,0,0,0,0,0,0,0,164
323,AWS,lavaleri,,0,0,0,0,0,0,0,0,0,164
324,AWS,lizroth,,0,0,0,0,0,0,0,0,0,164
325,AWS,MatthewBennington,,0,0,0,0,0,0,0,0,0,164
326,AWS,scottarc,,0,0,0,0,0,0,0,0,0,164
