aws-samples/java-meme-generator-sample
aws-samples/opsworks-example-cookbooks
aws-samples/opsworks-demo-php-simple-app
aws-samples/opsworks-demo-php-photo-share-app
aws-samples/aws-dynamodb-examples
aws-samples/aws-mobile-sample-wif
aws-samples/eb-python-flask
aws-samples/eb-node-express
aws-samples/aws-ruby-sample
aws-samples/aws-java-sample
aws-samples/aws-php-sample
aws-samples/aws-nodejs-sample
aws-samples/aws-python-sample
aws-samples/emr-bootstrap-actions
aws-samples/aws-cfn-custom-resource-examples
aws-samples/eb-py-flask-signup
aws-samples/aws-auto-scaling-console-sample
aws-samples/reinvent2013-js-blog-demo
aws-samples/opsworks-demo-rails-photo-share-app
aws-samples/reinvent2013-mobile-photo-share
aws-samples/eb-py-flask-signup-worker
aws-samples/kinesis-poster-worker
aws-samples/eb-node-express-signup
aws-samples/eb-demo-php-simple-app
aws-samples/aws-flow-ruby-samples
aws-samples/opsworks-elasticsearch-cookbook
aws-samples/opsworks-attribute-customization
aws-samples/mqtt-kinesis-bridge
aws-samples/eb-wif-sample
aws-samples/aws-big-data-blog
aws-samples/opsworks-cloudwatch-logs-cookbooks
aws-samples/aws-flow-ruby-opsworks-helloworld
aws-samples/todo-sample-app-cookbooks
aws-samples/aws-mobile-self-paced-labs-samples
aws-samples/reinvent2014-scalable-site-management
aws-samples/aws-sdk-js-sample-video-transcoder
aws-samples/aws-codedeploy-samples
aws-samples/aws-sdk-unity-samples
aws-samples/amazon-cognito-developer-authentication-sample
aws-samples/aws-arch-backoff-simulator
aws-samples/py-flask-signup-docker
aws-samples/ecs-demo-php-simple-app
aws-samples/eb-docker-virtual-hosting
aws-samples/eb-docker-nginx-proxy
aws-samples/eb-docker-multiple-ports
aws-samples/machine-learning-samples
aws-samples/amazon-kinesis-learning
aws-samples/create-thumbnails-lambda
aws-samples/aws-demo-php-simple-app
aws-samples/AWSCodePipeline-S3-AWSCodeDeploy_Windows
aws-samples/aws-codepipeline-s3-codedeploy-linux
aws-samples/eb-node-express-sample
aws-samples/lambda-ecs-worker-pattern
aws-samples/aws-device-farm-sample-app-for-android
aws-samples/aws-device-farm-sample-app-for-ios
aws-samples/aws-device-farm-appium-tests-for-sample-app
aws-samples/aws-device-farm-calabash-tests-for-sample-app
aws-samples/api-gateway-secure-pet-store
aws-samples/amazon-elasticsearch-lambda-samples
aws-samples/amazon-redshift-udfs
aws-samples/opsworks-windows-demo-nodejs
aws-samples/opsworks-windows-demo-cookbooks
aws-samples/lambda-refarch-fileprocessing
aws-samples/lambda-refarch-iotbackend
aws-samples/lambda-refarch-mobilebackend
aws-samples/reinvent2015-dev309
aws-samples/lambda-refarch-webapp
aws-samples/lambda-refarch-streamprocessing
aws-samples/aws-go-wordfreq-sample
aws-samples/aws-cfn-windows-hpc-template
aws-samples/aws-cloudfront-samples
aws-samples/opsworks-linux-demo-cookbook-nodejs
aws-samples/awscli-reinvent-examples
aws-samples/simplerobotservice
aws-samples/aws-cfn-go-template
aws-samples/aws-saml-adfs-cmdlet-sample
aws-samples/lambda-apigateway-twilio-tutorial
aws-samples/aws-codedeploy-sample-tomcat
aws-samples/eb-locustio-sample
aws-samples/aws-device-farm-sample-web-app-using-appium
aws-samples/aws-iot-examples
aws-samples/eb-tomcat-snakes
aws-samples/aws-device-farm-sample-web-app-using-appium-python
aws-samples/apn-blog
aws-samples/aws-lambda-ddns-function
aws-samples/aws-lambda-rdbms-integration
aws-samples/aws-iot-elf
aws-samples/lambda-refarch-voteapp
aws-samples/aws-iotbot
aws-samples/aws-s3-artifact-manager-sample
aws-samples/aws-serverless-chatbot-sample
aws-samples/aws-lambda-fanout
aws-samples/ecs-machine-learning
aws-samples/aws-lambda-mirror-dns-function
aws-samples/ecs-refarch-cloudformation
aws-samples/aws-device-farm-appium-python-tests-for-ios-sample-app
aws-samples/aws-device-farm-appium-python-tests-for-android-sample-app
aws-samples/aws-device-farm-xctest-ui-tests-for-ios-sample-app
aws-samples/lambda-java8-dynamodb
aws-samples/aws-serverless-crud-sample
aws-samples/aws-database-migration-samples
aws-samples/eb-java-scorekeep
aws-samples/eb-php-drupal
aws-samples/eb-php-wordpress
aws-samples/aws-lambda-lifecycle-hooks-function
aws-samples/swift-ecs-workshop
aws-samples/aws-serverless-workshops
aws-samples/ecs-deep-learning-workshop
aws-samples/aws-codepipeline-time-windows
aws-samples/aws-codepipeline-synthetic-tests
aws-samples/pywren-workshops
aws-samples/aws-research-cloud
aws-samples/aws-xray-dotnet-webapp
aws-samples/startup-kit-serverless-workload
aws-samples/aws-serverless-samfarm
aws-samples/aws-cidr-finder
aws-samples/ecs-cid-sample
aws-samples/startup-kit-templates
aws-samples/aws-cfn-umbraco-load-balancing-template
